ASIN,Product Name,Category,Price Range,Search Term,Status,Last Updated,Notes,Priority
B08XYZ1234,Premium Yoga Mat,Sports & Fitness,₹999 - ₹1499,yoga+mat,Active,2026-05-05,Best seller,High
B08ABC5678,Adjustable Dumbbells,Sports & Fitness,₹1999 - ₹4999,adjustable+dumbbells,Active,2026-05-05,Popular item,High
B08DEF9012,Fitness Tracker Watch,Sports & Fitness,₹1499 - ₹3999,fitness+tracker,Active,2026-05-05,High commission,High
B08GHI3456,Resistance Bands Set,Sports & Fitness,₹499 - ₹1299,resistance+bands,Active,2026-05-05,Budget friendly,Medium
B08JKL7890,Protein Shaker Bottle,Sports & Fitness,₹299 - ₹699,protein+shaker,Active,2026-05-05,Low price,Low
B08MNO2345,Speed Jump Rope,Sports & Fitness,₹199 - ₹599,jump+rope,Active,2026-05-05,Affordable,Low
B08PQR6789,Non-Stick Cookware Set,Kitchen & Home,₹1499 - ₹2999,non+stick+cookware,Active,2026-05-05,8.5% commission,High
B08STU0123,Pressure Cooker 5L,Kitchen & Home,₹1299 - ₹2499,pressure+cooker+5+litre,Active,2026-05-05,Essential item,High
B08VWX4567,Mixer Grinder 750W,Kitchen & Home,₹2499 - ₹4999,mixer+grinder+750w,Active,2026-05-05,High value,High
B08YZA8901,Storage Container Set,Kitchen & Home,₹799 - ₹1499,airtight+storage+containers,Active,2026-05-05,Popular,Medium
B08BCD2345,Kitchen Knife Set,Kitchen & Home,₹599 - ₹1299,kitchen+knife+set,Active,2026-05-05,Good margin,Medium
B08EFG6789,Dinner Set 32 Pieces,Kitchen & Home,₹1299 - ₹2499,dinner+set+32+pieces,Active,2026-05-05,Wedding gift,Medium
,Wireless Earbuds,Tech & Electronics,₹1499 - ₹3999,wireless+earbuds,Pending,,,Add this week,High
,Power Bank 20000mAh,Tech & Electronics,₹1299 - ₹2499,power+bank+20000mah,Pending,,,Add this week,High
,Laptop Bag 15 inch,Tech & Electronics,₹799 - ₹1999,laptop+bag+15+inch,Pending,,,Add this week,Medium
,USB Type-C Cable,Tech & Electronics,₹199 - ₹499,usb+type+c+cable,Pending,,,Add next week,Low
,Wireless Mouse,Tech & Electronics,₹399 - ₹999,wireless+mouse,Pending,,,Add next week,Medium
,Mechanical Keyboard,Tech & Electronics,₹1999 - ₹4999,mechanical+keyboard,Pending,,,Add next week,Medium
,HD Webcam,Tech & Electronics,₹1499 - ₹2999,hd+webcam,Pending,,,Add later,Low
,LED Desk Lamp,Tech & Electronics,₹599 - ₹1499,led+desk+lamp,Pending,,,Add later,Low
,Self Help Books,Books & Learning,₹199 - ₹599,self+help+books,Pending,,,Add this month,Medium
,Fiction Bestsellers,Books & Learning,₹299 - ₹699,fiction+books+2026,Pending,,,Add this month,Medium
,Business Books,Books & Learning,₹399 - ₹899,business+books,Pending,,,Add this month,Medium
,Children's Books,Books & Learning,₹199 - ₹499,children+books,Pending,,,Add this month,Low
,Educational Workbooks,Books & Learning,₹149 - ₹399,educational+workbooks,Pending,,,Add this month,Low
,Men's T-Shirts,Fashion & Beauty,₹299 - ₹799,men+tshirts,Pending,,,Add next month,Medium
,Women's Kurta,Fashion & Beauty,₹499 - ₹1499,women+kurta,Pending,,,Add next month,High
,Face Cream,Fashion & Beauty,₹299 - ₹999,face+cream+women,Pending,,,Add next month,High
,Sunglasses,Fashion & Beauty,₹399 - ₹1299,sunglasses,Pending,,,Add next month,Medium
,Wrist Watch,Fashion & Beauty,₹999 - ₹2999,wrist+watch,Pending,,,Add next month,Medium
